Caso,Technology Tags (en formato csv),Studio Tags (en formato csv),Business Tags (en formato csv),Quien lo taggeo?
AEP Energy | CORPORATE OPERATIONAL DASHBOARD,"Kafka,Spark Streaming,Cassandra,Spring,Stomp over Web Sockets,Angular,D3.js,Java,Neo4J,MySQL,Mule ESB,Hazelcast,Jenkins","Data Architecture,Data Visualization",Energy,Christian
AMADEUS | Hotel BI Platform (2012/2013),"OBIEE 11g,jQuery,HTML5,Java","Data Architecture,Data Visualization,Data Integration",Travel/Airlines,Christian
Autodesk | 360 Core Platform,"Scala,TitanDB,Cassandra,AWS platform","Data Architecture,Mission Critical,Data Integration",Software,Christian
Autodesk | PLM (Draft!),"Java,Scala,Cassandra,PostgreSQL,AWS",Mission Critical,Software,Christian
Autodesk | Skyscraper,"Cassandra,.Net,AWS","Mission Critical,Data Architecture",Software,Christian
BBVA | Commerce360,"Java,Backbone,D3.js,CartoDB,AWS,Postgre","Data Architecture,Data Visualization,Data Integration",Financial services,Christian
BBVA | Heatmaps / Events Meter,"Java,POI,CartoDB,AWS,Backbone,jQuery,CartoDB.js,freemarker,Globalize,Require,Bootstrap","Data Architecture,Data Visualization,Data Integration",Financial services,Christian
BBVA | Innovation – Reinventing Email (Draft!),".Net,Nancy,ActiveSync,Outlook","Data Architecture,Data Science,Data Integration",Financial services,Christian
BBVA | Staff work collaboration (Draft),"R,Google APP Engine","Data Architecture,Data Science",Financial services,Christian
BBVA | Termómetro (Métricas),"Google Cloud Platform,Map-reduce,Java,Hadoop,PIG","Data Architecture,Data Science,Data Visualization",Financial services,Christian
Box.net | Cloud Storage (Draft!),".NET,Python,Ranorex,Visual Studio Tools for Office,WPF",Mission Critical,Cloud Storage,Christian
Claro | SALES ANALYTICS (Draft!),"Oracle,OBIEE,SQL Server,Access","Data Architecture,Data Integration,Data Visualization",Telecommunications,Christian
Credit Suisse | Collateral Optimization,"JAva,Gurobi,Sybase,Python,Spark","Mission Critical,Data Science,Data Visualization",Financial services,Christian
